,MSE,R2
Linear Regression,51460.39557165829,0.540024546346307
Random Forest,28121.344022222227,0.7486391655120267
Gradient Boosting,28777.25274780767,0.7427763673299478
XGBoost,29182.345591655165,0.7391554117202759
