County,County Code,Year,Year Code,Month,Month Code,Avg Day Land Surface Temperature (F),Avg Night Land Surface Temperature (F),Cases
"Maricopa County, AZ",4013.0,2008.0,2008.0,Jan,1.0,67.8335,34.1371,304
"Maricopa County, AZ",4013.0,2008.0,2008.0,Feb,2.0,78.8363,38.3816,302
"Maricopa County, AZ",4013.0,2008.0,2008.0,Mar,3.0,98.4641,45.7231,235
"Maricopa County, AZ",4013.0,2008.0,2008.0,Apr,4.0,110.5437,52.5432,248
"Maricopa County, AZ",4013.0,2008.0,2008.0,May,5.0,118.9077,59.39,315
"Maricopa County, AZ",4013.0,2008.0,2008.0,Jun,6.0,131.657,71.6878,229
"Maricopa County, AZ",4013.0,2008.0,2008.0,Jul,7.0,128.3194,77.704,246
"Maricopa County, AZ",4013.0,2008.0,2008.0,Aug,8.0,123.9194,77.2392,226
"Maricopa County, AZ",4013.0,2008.0,2008.0,Sep,9.0,117.4423,72.3011,260
"Maricopa County, AZ",4013.0,2008.0,2008.0,Oct,10.0,106.0249,58.5525,243
"Maricopa County, AZ",4013.0,2008.0,2008.0,Nov,11.0,88.9576,48.0272,352
"Maricopa County, AZ",4013.0,2008.0,2008.0,Dec,12.0,68.7069,38.0277,546
