"Notes"	"State"	"State Code"	"County"	"County Code"	"Year"	"Year Code"	"Month"	"Month Code"	Avg Daily Precipitation (mm)
	"Arizona"	"04"	"Apache County, AZ"	"04001"	"1979"	"1979"	"Jan"	"1"	0.0000
	"Arizona"	"04"	"Apache County, AZ"	"04001"	"1979"	"1979"	"Feb"	"2"	0.0000
	"Arizona"	"04"	"Apache County, AZ"	"04001"	"1979"	"1979"	"Mar"	"3"	0.0000
	"Arizona"	"04"	"Apache County, AZ"	"04001"	"1979"	"1979"	"Apr"	"4"	0.0000
	"Arizona"	"04"	"Apache County, AZ"	"04001"	"1979"	"1979"	"May"	"5"	0.0000
	"Arizona"	"04"	"Apache County, AZ"	"04001"	"1979"	"1979"	"Jun"	"6"	0.0000
	"Arizona"	"04"	"Apache County, AZ"	"04001"	"1979"	"1979"	"Jul"	"7"	0.0000
	"Arizona"	"04"	"Apache County, AZ"	"04001"	"1979"	"1979"	"Aug"	"8"	0.0000
	"Arizona"	"04"	"Apache County, AZ"	"04001"	"1979"	"1979"	"Sep"	"9"	0.0000
	"Arizona"	"04"	"Apache County, AZ"	"04001"	"1979"	"1979"	"Oct"	"10"	0.0000
	"Arizona"	"04"	"Apache County, AZ"	"04001"	"1979"	"1979"	"Nov"	"11"	0.0000
	"Arizona"	"04"	"Apache County, AZ"	"04001"	"1979"	"1979"	"Dec"	"12"	0.0000
"Total"	"Arizona"	"04"	"Apache County, AZ"	"04001"	"1979"	"1979"			0.0000
	"Arizona"	"04"	"Apache County, AZ"	"04001"	"1980"	"1980"	"Jan"	"1"	0.0000
	"Arizona"	"04"	"Apache County, AZ"	"04001"	"1980"	"1980"	"Feb"	"2"	0.0000
	"Arizona"	"04"	"Apache County, AZ"	"04001"	"1980"	"1980"	"Mar"	"3"	0.0000
	"Arizona"	"04"	"Apache County, AZ"	"04001"	"1980"	"1980"	"Apr"	"4"	0.0000
	"Arizona"	"04"	"Apache County, AZ"	"04001"	"1980"	"1980"	"May"	"5"	0.0000
	"Arizona"	"04"	"Apache County, AZ"	"04001"	"1980"	"1980"	"Jun"	"6"	0.0000
	"Arizona"	"04"	"Apache County, AZ"	"04001"	"1980"	"1980"	"Jul"	"7"	0.0000
	"Arizona"	"04"	"Apache County, AZ"	"04001"	"1980"	"1980"	"Aug"	"8"	0.0000
	"Arizona"	"04"	"Apache County, AZ"	"04001"	"1980"	"1980"	"Sep"	"9"	0.0000
	"Arizona"	"04"	"Apache County, AZ"	"04001"	"1980"	"1980"	"Oct"	"10"	0.0000
	"Arizona"	"04"	"Apache County, AZ"	"04001"	"1980"	"1980"	"Nov"	"11"	0.0000
	"Arizona"	"04"	"Apache County, AZ"	"04001"	"1980"	"1980"	"Dec"	"12"	0.0000
"Total"	"Arizona"	"04"	"Apache County, AZ"	"04001"	"1980"	"1980"			0.0000
	"Arizona"	"04"	"Apache County, AZ"	"04001"	"1981"	"1981"	"Jan"	"1"	0.0000
	"Arizona"	"04"	"Apache County, AZ"	"04001"	"1981"	"1981"	"Feb"	"2"	0.0000
	"Arizona"	"04"	"Apache County, AZ"	"04001"	"1981"	"1981"	"Mar"	"3"	0.0000
	"Arizona"	"04"	"Apache County, AZ"	"04001"	"1981"	"1981"	"Apr"	"4"	0.0000
	"Arizona"	"04"	"Apache County, AZ"	"04001"	"1981"	"1981"	"May"	"5"	0.0000
	"Arizona"	"04"	"Apache County, AZ"	"04001"	"1981"	"1981"	"Jun"	"6"	0.0000
	"Arizona"	"04"	"Apache County, AZ"	"04001"	"1981"	"1981"	"Jul"	"7"	0.0000
	"Arizona"	"04"	"Apache County, AZ"	"04001"	"1981"	"1981"	"Aug"	"8"	0.0000
	"Arizona"	"04"	"Apache County, AZ"	"04001"	"1981"	"1981"	"Sep"	"9"	0.0000
	"Arizona"	"04"	"Apache County, AZ"	"04001"	"1981"	"1981"	"Oct"	"10"	0.0000
	"Arizona"	"04"	"Apache County, AZ"	"04001"	"1981"	"1981"	"Nov"	"11"	0.0000
	"Arizona"	"04"	"Apache County, AZ"	"04001"	"1981"	"1981"	"Dec"	"12"	0.0000
"Total"	"Arizona"	"04"	"Apache County, AZ"	"04001"	"1981"	"1981"			0.0000
	"Arizona"	"04"	"Apache County, AZ"	"04001"	"1982"	"1982"	"Jan"	"1"	0.0000
	"Arizona"	"04"	"Apache County, AZ"	"04001"	"1982"	"1982"	"Feb"	"2"	0.0000
	"Arizona"	"04"	"Apache County, AZ"	"04001"	"1982"	"1982"	"Mar"	"3"	0.0000
	"Arizona"	"04"	"Apache County, AZ"	"04001"	"1982"	"1982"	"Apr"	"4"	0.0000
	"Arizona"	"04"	"Apache County, AZ"	"04001"	"1982"	"1982"	"May"	"5"	0.0000
	"Arizona"	"04"	"Apache County, AZ"	"04001"	"1982"	"1982"	"Jun"	"6"	0.0000
	"Arizona"	"04"	"Apache County, AZ"	"04001"	"1982"	"1982"	"Jul"	"7"	0.0000
	"Arizona"	"04"	"Apache County, AZ"	"04001"	"1982"	"1982"	"Aug"	"8"	0.0000
	"Arizona"	"04"	"Apache County, AZ"	"04001"	"1982"	"1982"	"Sep"	"9"	0.0000
	"Arizona"	"04"	"Apache County, AZ"	"04001"	"1982"	"1982"	"Oct"	"10"	0.0000
	"Arizona"	"04"	"Apache County, AZ"	"04001"	"1982"	"1982"	"Nov"	"11"	0.0000
	"Arizona"	"04"	"Apache County, AZ"	"04001"	"1982"	"1982"	"Dec"	"12"	0.0000
"Total"	"Arizona"	"04"	"Apache County, AZ"	"04001"	"1982"	"1982"			0.0000
	"Arizona"	"04"	"Apache County, AZ"	"04001"	"1983"	"1983"	"Jan"	"1"	0.0000
	"Arizona"	"04"	"Apache County, AZ"	"04001"	"1983"	"1983"	"Feb"	"2"	0.0000
	"Arizona"	"04"	"Apache County, AZ"	"04001"	"1983"	"1983"	"Mar"	"3"	0.0000
	"Arizona"	"04"	"Apache County, AZ"	"04001"	"1983"	"1983"	"Apr"	"4"	0.0000
	"Arizona"	"04"	"Apache County, AZ"	"04001"	"1983"	"1983"	"May"	"5"	0.0000
	"Arizona"	"04"	"Apache County, AZ"	"04001"	"1983"	"1983"	"Jun"	"6"	0.0000
	"Arizona"	"04"	"Apache County, AZ"	"04001"	"1983"	"1983"	"Jul"	"7"	0.0000
	"Arizona"	"04"	"Apache County, AZ"	"04001"	"1983"	"1983"	"Aug"	"8"	0.0000
	"Arizona"	"04"	"Apache County, AZ"	"04001"	"1983"	"1983"	"Sep"	"9"	0.0000
	"Arizona"	"04"	"Apache County, AZ"	"04001"	"1983"	"1983"	"Oct"	"10"	0.0000
	"Arizona"	"04"	"Apache County, AZ"	"04001"	"1983"	"1983"	"Nov"	"11"	0.0000
	"Arizona"	"04"	"Apache County, AZ"	"04001"	"1983"	"1983"	"Dec"	"12"	0.0000
"Total"	"Arizona"	"04"	"Apache County, AZ"	"04001"	"1983"	"1983"			0.0000
	"Arizona"	"04"	"Apache County, AZ"	"04001"	"1984"	"1984"	"Jan"	"1"	0.0000
	"Arizona"	"04"	"Apache County, AZ"	"04001"	"1984"	"1984"	"Feb"	"2"	0.0000
	"Arizona"	"04"	"Apache County, AZ"	"04001"	"1984"	"1984"	"Mar"	"3"	0.0000
	"Arizona"	"04"	"Apache County, AZ"	"04001"	"1984"	"1984"	"Apr"	"4"	0.0000
	"Arizona"	"04"	"Apache County, AZ"	"04001"	"1984"	"1984"	"May"	"5"	0.0000
	"Arizona"	"04"	"Apache County, AZ"	"04001"	"1984"	"1984"	"Jun"	"6"	0.0000
	"Arizona"	"04"	"Apache County, AZ"	"04001"	"1984"	"1984"	"Jul"	"7"	0.0000
	"Arizona"	"04"	"Apache County, AZ"	"04001"	"1984"	"1984"	"Aug"	"8"	0.0000
	"Arizona"	"04"	"Apache County, AZ"	"04001"	"1984"	"1984"	"Sep"	"9"	0.0000
	"Arizona"	"04"	"Apache County, AZ"	"04001"	"1984"	"1984"	"Oct"	"10"	0.0000
	"Arizona"	"04"	"Apache County, AZ"	"04001"	"1984"	"1984"	"Nov"	"11"	0.0000
	"Arizona"	"04"	"Apache County, AZ"	"04001"	"1984"	"1984"	"Dec"	"12"	0.0000
"Total"	"Arizona"	"04"	"Apache County, AZ"	"04001"	"1984"	"1984"			0.0000
	"Arizona"	"04"	"Apache County, AZ"	"04001"	"1985"	"1985"	"Jan"	"1"	0.0000
