"Notes"	"State"	"State Code"	"County"	"County Code"	"Year"	"Year Code"	"Month"	"Month Code"	Avg Daily Max Air Temperature (F)	Avg Daily Max Heat Index (F)
	"Arizona"	"04"	"Apache County, AZ"	"04001"	"1981"	"1981"	"Apr"	"4"	Missing	Missing
	"Arizona"	"04"	"Apache County, AZ"	"04001"	"1981"	"1981"	"May"	"5"	Missing	Missing
	"Arizona"	"04"	"Apache County, AZ"	"04001"	"1981"	"1981"	"Jun"	"6"	Missing	Missing
	"Arizona"	"04"	"Apache County, AZ"	"04001"	"1981"	"1981"	"Jul"	"7"	Missing	Missing
	"Arizona"	"04"	"Apache County, AZ"	"04001"	"1981"	"1981"	"Aug"	"8"	Missing	Missing
	"Arizona"	"04"	"Apache County, AZ"	"04001"	"1981"	"1981"	"Sep"	"9"	Missing	Missing
	"Arizona"	"04"	"Apache County, AZ"	"04001"	"1981"	"1981"	"Oct"	"10"	Missing	Missing
	"Arizona"	"04"	"Apache County, AZ"	"04001"	"1981"	"1981"	"Nov"	"11"	Missing	Missing
	"Arizona"	"04"	"Apache County, AZ"	"04001"	"1981"	"1981"	"Dec"	"12"	Missing	Missing
"Total"	"Arizona"	"04"	"Apache County, AZ"	"04001"	"1981"	"1981"			Missing	Missing
	"Arizona"	"04"	"Apache County, AZ"	"04001"	"1982"	"1982"	"Jan"	"1"	Missing	Missing
	"Arizona"	"04"	"Apache County, AZ"	"04001"	"1982"	"1982"	"Feb"	"2"	Missing	Missing
	"Arizona"	"04"	"Apache County, AZ"	"04001"	"1982"	"1982"	"Mar"	"3"	Missing	Missing
	"Arizona"	"04"	"Apache County, AZ"	"04001"	"1982"	"1982"	"Apr"	"4"	Missing	Missing
	"Arizona"	"04"	"Apache County, AZ"	"04001"	"1982"	"1982"	"May"	"5"	Missing	Missing
	"Arizona"	"04"	"Apache County, AZ"	"04001"	"1982"	"1982"	"Jun"	"6"	Missing	Missing
	"Arizona"	"04"	"Apache County, AZ"	"04001"	"1982"	"1982"	"Jul"	"7"	Missing	Missing
	"Arizona"	"04"	"Apache County, AZ"	"04001"	"1982"	"1982"	"Aug"	"8"	Missing	Missing
	"Arizona"	"04"	"Apache County, AZ"	"04001"	"1982"	"1982"	"Sep"	"9"	Missing	Missing
	"Arizona"	"04"	"Apache County, AZ"	"04001"	"1982"	"1982"	"Oct"	"10"	Missing	Missing
	"Arizona"	"04"	"Apache County, AZ"	"04001"	"1982"	"1982"	"Nov"	"11"	Missing	Missing
	"Arizona"	"04"	"Apache County, AZ"	"04001"	"1982"	"1982"	"Dec"	"12"	Missing	Missing
"Total"	"Arizona"	"04"	"Apache County, AZ"	"04001"	"1982"	"1982"			Missing	Missing
	"Arizona"	"04"	"Apache County, AZ"	"04001"	"1983"	"1983"	"Jan"	"1"	Missing	Missing
	"Arizona"	"04"	"Apache County, AZ"	"04001"	"1983"	"1983"	"Feb"	"2"	Missing	Missing
