County,County Code,Year,Year Code,Month,Month Code,Avg Daily Precipitation (mm),Cases
Maricopa,4013.0,2008,2008.0,May,5,0.5387,315
Maricopa,4013.0,2008,2008.0,Jun,6,0.01,229
Maricopa,4013.0,2008,2008.0,Jul,7,1.0968,246
Maricopa,4013.0,2008,2008.0,Aug,8,1.529,226
Maricopa,4013.0,2008,2008.0,Sep,9,0.2833,260
Maricopa,4013.0,2008,2008.0,Oct,10,0.0226,243
Maricopa,4013.0,2008,2008.0,Nov,11,0.7367,352
Maricopa,4013.0,2008,2008.0,Dec,12,1.4,546
Maricopa,4013.0,2009,2009.0,Jan,1,0.1452,424
Maricopa,4013.0,2009,2009.0,Feb,2,0.8321,246
Maricopa,4013.0,2009,2009.0,Mar,3,0.0,287
Maricopa,4013.0,2009,2009.0,Apr,4,0.3333,287
Maricopa,4013.0,2009,2009.0,May,5,0.2226,361
Maricopa,4013.0,2009,2009.0,Jun,6,0.03,1009
Maricopa,4013.0,2009,2009.0,Jul,7,0.6258,898
Maricopa,4013.0,2009,2009.0,Aug,8,0.6548,799
Maricopa,4013.0,2009,2009.0,Sep,9,0.3467,924
Maricopa,4013.0,2009,2009.0,Oct,10,0.0032,866
Maricopa,4013.0,2009,2009.0,Nov,11,0.0233,1076
Maricopa,4013.0,2009,2009.0,Dec,12,0.5903,910
Maricopa,4013.0,2010,2010.0,Jan,1,3.0226,736
Maricopa,4013.0,2010,2010.0,Feb,2,1.2714,646
Maricopa,4013.0,2010,2010.0,Mar,3,0.7484,735
Maricopa,4013.0,2010,2010.0,Apr,4,0.0033,552
Maricopa,4013.0,2010,2010.0,May,5,0.0258,663
Maricopa,4013.0,2010,2010.0,Jun,6,0.0533,703
Maricopa,4013.0,2010,2010.0,Jul,7,0.8452,673
Maricopa,4013.0,2010,2010.0,Aug,8,0.9548,774
Maricopa,4013.0,2010,2010.0,Sep,9,0.2033,727
Maricopa,4013.0,2010,2010.0,Oct,10,0.5677,915
Maricopa,4013.0,2010,2010.0,Nov,11,0.0833,1085
Maricopa,4013.0,2010,2010.0,Dec,12,1.2484,1251
Maricopa,4013.0,2011,2011.0,Jan,1,0.0,1178
Maricopa,4013.0,2011,2011.0,Feb,2,0.8893,1030
Maricopa,4013.0,2011,2011.0,Mar,3,0.229,1145
Maricopa,4013.0,2011,2011.0,Apr,4,0.3367,1101
Maricopa,4013.0,2011,2011.0,May,5,0.0258,1099
Maricopa,4013.0,2011,2011.0,Jun,6,0.0,1124
Maricopa,4013.0,2011,2011.0,Jul,7,1.1516,1112
Maricopa,4013.0,2011,2011.0,Aug,8,0.2226,1272
Maricopa,4013.0,2011,2011.0,Sep,9,0.1633,958
Maricopa,4013.0,2011,2011.0,Oct,10,0.1161,994
Maricopa,4013.0,2011,2011.0,Nov,11,0.7167,1200
Maricopa,4013.0,2011,2011.0,Dec,12,0.9903,1192
