County,County Code,Year,Year Code,Month,Month Code,Avg Daily Max Air Temperature (F),Avg Daily Max Heat Index (F),Cases
Maricopa,4013.0,2008,2008.0,Aug,8,99.7258,99.4285,226
Maricopa,4013.0,2008,2008.0,Sep,9,96.8556,94.1711,260
Maricopa,4013.0,2008,2008.0,Oct,10,86.9961,85.7018,243
Maricopa,4013.0,2008,2008.0,Nov,11,74.9225,81.3272,352
Maricopa,4013.0,2009,2009.0,Jan,1,65.253,78.8138,424
Maricopa,4013.0,2009,2009.0,Feb,2,67.7406,79.7194,246
Maricopa,4013.0,2009,2009.0,Mar,3,75.0854,81.4443,287
Maricopa,4013.0,2009,2009.0,Apr,4,79.5474,83.8962,287
Maricopa,4013.0,2009,2009.0,May,5,94.659,90.3576,361
Maricopa,4013.0,2009,2009.0,Jun,6,95.7318,91.6118,1009
Maricopa,4013.0,2009,2009.0,Jul,7,106.9506,104.3274,898
Maricopa,4013.0,2009,2009.0,Aug,8,104.2008,100.2497,799
Maricopa,4013.0,2009,2009.0,Sep,9,99.5929,96.0181,924
Maricopa,4013.0,2009,2009.0,Oct,10,82.7649,83.9567,866
Maricopa,4013.0,2009,2009.0,Nov,11,77.0568,83.1247,1076
Maricopa,4013.0,2010,2010.0,Mar,3,70.4052,80.0856,735
Maricopa,4013.0,2010,2010.0,Apr,4,77.7763,82.5197,552
Maricopa,4013.0,2010,2010.0,May,5,86.6415,85.7041,663
Maricopa,4013.0,2010,2010.0,Jun,6,99.2014,94.173,703
Maricopa,4013.0,2010,2010.0,Jul,7,104.2801,102.1897,673
Maricopa,4013.0,2010,2010.0,Aug,8,101.6304,100.5458,774
Maricopa,4013.0,2010,2010.0,Sep,9,100.1842,96.7146,727
Maricopa,4013.0,2010,2010.0,Oct,10,85.039,86.058,915
Maricopa,4013.0,2010,2010.0,Nov,11,70.1955,82.2245,1085
Maricopa,4013.0,2011,2011.0,Mar,3,75.9882,81.1461,1145
Maricopa,4013.0,2011,2011.0,Apr,4,81.9458,82.9238,1101
Maricopa,4013.0,2011,2011.0,May,5,86.5602,86.1341,1099
Maricopa,4013.0,2011,2011.0,Jun,6,99.8649,94.5227,1124
Maricopa,4013.0,2011,2011.0,Jul,7,103.1616,100.938,1112
Maricopa,4013.0,2011,2011.0,Aug,8,105.874,104.094,1272
Maricopa,4013.0,2011,2011.0,Sep,9,99.232,95.5135,958
Maricopa,4013.0,2011,2011.0,Oct,10,87.1569,86.8082,994
Maricopa,4013.0,2011,2011.0,Nov,11,70.0669,81.1228,1200
