State,State Code,County,County Code,Year,Year Code,Month,Month Code,Avg Daily Max Air Temperature (F),Avg Daily Max Heat Index (F),Cases
Arizona,4.0,Apache,4001.0,2011,2011.0,Jun,6,82.3701,82.839,1
Arizona,4.0,Apache,4001.0,2011,2011.0,Jul,7,86.3379,84.7139,0
Arizona,4.0,Apache,4001.0,2011,2011.0,Aug,8,86.601,84.9976,4
Arizona,4.0,Apache,4001.0,2011,2011.0,Sep,9,77.3514,81.1052,1
Arizona,4.0,Apache,4001.0,2011,2011.0,Oct,10,64.9899,79.0839,2
Arizona,4.0,Cochise,4003.0,2000,2000.0,Apr,4,76.9178,81.3284,1
Arizona,4.0,Cochise,4003.0,2000,2000.0,May,5,86.8671,84.7528,0
Arizona,4.0,Cochise,4003.0,2000,2000.0,Jun,6,89.4115,86.5424,1
Arizona,4.0,Cochise,4003.0,2000,2000.0,Jul,7,92.1368,88.9172,1
Arizona,4.0,Cochise,4003.0,2000,2000.0,Aug,8,88.6353,87.1646,0
Arizona,4.0,Cochise,4003.0,2000,2000.0,Sep,9,88.0813,85.6028,0
Arizona,4.0,Cochise,4003.0,2000,2000.0,Oct,10,69.7999,83.41,0
Arizona,4.0,Cochise,4003.0,2001,2001.0,Mar,3,65.2821,78.8471,0
Arizona,4.0,Cochise,4003.0,2001,2001.0,Apr,4,72.3063,80.6515,0
Arizona,4.0,Cochise,4003.0,2001,2001.0,May,5,84.749,84.1792,0
Arizona,4.0,Cochise,4003.0,2001,2001.0,Jun,6,91.2722,87.5334,0
Arizona,4.0,Cochise,4003.0,2001,2001.0,Jul,7,89.7192,87.5496,1
Arizona,4.0,Cochise,4003.0,2001,2001.0,Aug,8,89.1682,87.1999,0
Arizona,4.0,Cochise,4003.0,2001,2001.0,Sep,9,86.3247,84.4892,0
Arizona,4.0,Cochise,4003.0,2001,2001.0,Oct,10,77.691,80.3059,0
Arizona,4.0,Cochise,4003.0,2001,2001.0,Nov,11,66.0148,79.5591,1
Arizona,4.0,Cochise,4003.0,2002,2002.0,Mar,3,65.6246,79.1419,0
Arizona,4.0,Cochise,4003.0,2002,2002.0,Apr,4,77.9391,80.6846,0
Arizona,4.0,Cochise,4003.0,2002,2002.0,May,5,82.7708,82.7575,3
Arizona,4.0,Cochise,4003.0,2002,2002.0,Jun,6,94.0686,89.6392,2
Arizona,4.0,Cochise,4003.0,2002,2002.0,Jul,7,91.4487,88.5587,1
Arizona,4.0,Cochise,4003.0,2002,2002.0,Aug,8,90.7287,88.2325,1
Arizona,4.0,Cochise,4003.0,2002,2002.0,Sep,9,85.86,84.6109,2
Arizona,4.0,Cochise,4003.0,2002,2002.0,Oct,10,73.0729,79.8218,0
Arizona,4.0,Cochise,4003.0,2003,2003.0,Mar,3,63.6814,78.5,0
Arizona,4.0,Cochise,4003.0,2003,2003.0,Apr,4,70.9685,79.1079,0
Arizona,4.0,Cochise,4003.0,2003,2003.0,May,5,84.3372,84.8974,0
Arizona,4.0,Cochise,4003.0,2003,2003.0,Jun,6,90.9081,87.026,0
Arizona,4.0,Cochise,4003.0,2003,2003.0,Jul,7,95.2008,91.8223,2
Arizona,4.0,Cochise,4003.0,2003,2003.0,Aug,8,90.6998,88.4508,0
Arizona,4.0,Cochise,4003.0,2003,2003.0,Sep,9,86.7668,85.3309,0
Arizona,4.0,Cochise,4003.0,2003,2003.0,Oct,10,80.3004,81.7937,0
Arizona,4.0,Cochise,4003.0,2003,2003.0,Nov,11,64.0798,78.725,0
Arizona,4.0,Cochise,4003.0,2004,2004.0,Mar,3,70.4538,79.7648,0
Arizona,4.0,Cochise,4003.0,2004,2004.0,Apr,4,70.3482,79.3691,1
Arizona,4.0,Cochise,4003.0,2004,2004.0,May,5,82.8768,82.0318,2
Arizona,4.0,Cochise,4003.0,2004,2004.0,Jun,6,89.6184,86.0067,0
Arizona,4.0,Cochise,4003.0,2004,2004.0,Jul,7,91.3268,88.2761,0
Arizona,4.0,Cochise,4003.0,2004,2004.0,Aug,8,87.5076,85.8776,1
Arizona,4.0,Cochise,4003.0,2004,2004.0,Sep,9,83.5551,84.1755,0
Arizona,4.0,Cochise,4003.0,2004,2004.0,Oct,10,72.8275,80.3863,0
Arizona,4.0,Cochise,4003.0,2005,2005.0,Apr,4,72.0103,79.5768,1
Arizona,4.0,Cochise,4003.0,2005,2005.0,May,5,82.7773,84.6374,1
Arizona,4.0,Cochise,4003.0,2005,2005.0,Jun,6,89.2914,86.6938,2
Arizona,4.0,Cochise,4003.0,2005,2005.0,Jul,7,93.6445,91.1119,0
Arizona,4.0,Cochise,4003.0,2005,2005.0,Aug,8,87.5865,86.7553,2
Arizona,4.0,Cochise,4003.0,2005,2005.0,Sep,9,86.9974,84.888,1
Arizona,4.0,Cochise,4003.0,2005,2005.0,Oct,10,75.9813,82.7572,1
Arizona,4.0,Cochise,4003.0,2005,2005.0,Nov,11,68.0804,79.0896,3
Arizona,4.0,Cochise,4003.0,2006,2006.0,Apr,4,75.5056,80.4654,1
Arizona,4.0,Cochise,4003.0,2006,2006.0,May,5,85.0666,83.5424,5
Arizona,4.0,Cochise,4003.0,2006,2006.0,Jun,6,93.377,89.1197,3
Arizona,4.0,Cochise,4003.0,2006,2006.0,Jul,7,91.3141,90.6495,0
Arizona,4.0,Cochise,4003.0,2006,2006.0,Aug,8,85.7777,85.2923,1
Arizona,4.0,Cochise,4003.0,2006,2006.0,Sep,9,81.2095,82.5456,0
Arizona,4.0,Cochise,4003.0,2006,2006.0,Oct,10,73.7298,83.1274,3
Arizona,4.0,Cochise,4003.0,2006,2006.0,Nov,11,67.9233,79.2423,0
Arizona,4.0,Cochise,4003.0,2007,2007.0,Mar,3,68.2159,80.5477,3
